n,a_n,b_n,c_n,avg
1,3,3,1,2.33333
2,1,1,5,2.33333
3,5,5,-3,2.33333
4,-3,-3,13,2.33333
5,13,13,-19,2.33333
6,-19,-19,45,2.33333
7,45,45,-83,2.33333
8,-83,-83,173,2.33333
9,173,173,-339,2.33333
10,-339,-339,685,2.33333
11,685,685,-1363,2.33333
12,-1363,-1363,2733,2.33333
13,2733,2733,-5459,2.33333
14,-5459,-5459,10925,2.33333
15,10925,10925,-21843,2.33333
16,-21843,-21843,43693,2.33333
17,43693,43693,-87379,2.33333
18,-87379,-87379,174765,2.33333
19,174765,174765,-349523,2.33333
20,-349523,-349523,699053,2.33333
